collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"app.bsky.feed.post",".entities[].value","uri","at://did:plc:4cl7qvhs5524r2m6pcup4edt/app.bsky.feed.post/3lio7d7vs5n27",3195,276,75,44,30,14,10,14,14,9,18,13,46,0,0,0,0,0,0,0,0,0,0
"place.stream.key",".signingKey","did","at://did:plc:ee3n2hs2wkgrkskrz6whzrfs/place.stream.key/3lhlz27a6qe2d",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.netlify.aniblue.status",".status[].thumbnail","uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.graph.follow.create",".subject","did","at://did:plc:eyjxeowpogyn6tipx3yapwlc/app.bsky.graph.follow.create/3lhhalmqr5j2v",25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xyz.statusphere.post",".video","uri","at://did:plc:ycwhmmpcei4ajwdx5osphj2e/xyz.statusphere.post/3li3io3g7wk25",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.images[app.bsky.embed.images#image].alt","uri","at://did:plc:bfk4lrfy5lhyydvkt6jg3wz3/app.bsky.feed.post/3lifb7eebvw2b",210,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".image","uri","at://did:plc:zmrxe6k64tbkqinca2pghycs/app.bsky.feed.post/3liahf2znm32f",1065,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.uri","at-uri","at://did:plc:utmhhwwmzlbqteuxgsq2osbw/app.bsky.feed.post/3libita4cck2g",5080094,2375846,1243923,815167,529752,384633,276843,214199,164464,132494,193930,231193,302587,112827,41079,15850,6702,3126,1898,125,1,0,0
"app.bsky.feed.threadgate",".hiddenReplies[]","at-uri","",61418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.popsky.listItem",".listUri","at-uri","at://did:plc:4cytq7nt7j52ztnqzbvbq6ma/app.popsky.listItem/3lhadoridos2z",4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
